id,title,price,currency,regular_price,discount_percent,brand,url,image,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size,sku,description
89468,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",2299.0,TND,2459.0,6.51,,https://www.tunisianet.com.tn/pc-portable-tunisie/89468-pc-portable-gamer-asus-vivobook-16x-i5-13420h-12gb-512ssd-rtx30504go-w11-16-wuxga-black-sac-a-dos.html,,False,tunisianet,Tunisia,2026-01-02T16:31:15.118404,I5-13420H,,30504.0,30504 GO SSD,"16""",,
89467,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",2299.0,TND,2459.0,6.51,,https://www.tunisianet.com.tn/pc-portable-tunisie/89467-pc-portable-gamer-asus-vivobook-16x-i5-13420h-12gb-512ssd-rtx30504go-w11-16-wuxga-silver-sac-a-dos.html,,False,tunisianet,Tunisia,2026-01-02T16:31:15.121367,I5-13420H,,30504.0,30504 GO SSD,"16""",,
81458,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 16 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert,2305.0,TND,2515.0,8.35,,https://www.tunisianet.com.tn/pc-portable-tunisie/81458-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.079078,i5-13420H,RTX 2050 4G,16.0,16 Go SSD,,,
90218,PC Portable Gamer HP Victus Gaming Laptop 15-fa1006nk / i5-13420H / 16 Go / 512 Go SSD / Windows 11 / Bleu,2309.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/90218-pc-portable-gamer-hp-victus-gaming-laptop-15-fa1006nk-i5-13420h-16-go-512-go-ssd-windows-11-bleu.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.082075,i5-13420H,,16.0,16 Go SSD,,,
82106,PC Portable Gamer HP Victus Gaming Laptop 15-fa1006nk / i5-13420H / 16 Go / 512 Go SSD / Windows 11 / Bleu,2309.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/82106-pc-portable-gamer-hp-victus-gaming-laptop-15-fa1006nk-i5-13420h-16-go-512-go-ssd-windows-11-bleu.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.084071,i5-13420H,,16.0,16 Go SSD,,,
88336,Pc Portable Gamer Lenovo LOQ 15IAX9 / i5-12450HX / RTX 2050 4G / 12 Go DDR5 / 512 Go SSD / Windows 11 / Gris,2329.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/88336-pc-portable-gamer-lenovo-loq-15iax9-i5-12450hx-rtx-2050-4g-12-go-ddr5-512-go-ssd-windows-11-gris.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.087070,i5-12450HX,RTX 2050 4G,12.0,12 Go SSD,,,
88681,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 8 Go DDR5 / 512 Go SSD / Noir,2339.0,TND,2649.0,11.7,,https://www.tunisianet.com.tn/pc-portable-tunisie/88681-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.090076,,RTX 3050 6G,8.0,8 Go SSD,,,
80000,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 8 Go / 512 Go SSD / Gris Cosmos,2345.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/80000-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-8-go-512-go-ssd-gris-cosmos-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.096084,i7-13620H,RTX 2050 4G,8.0,8 Go SSD,,,
80006,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 24 Go / 512 Go SSD / Gris Cosmos,2355.0,TND,2565.0,8.19,,https://www.tunisianet.com.tn/pc-portable-tunisie/80006-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.100037,i5-13420H,RTX 2050 4G,24.0,24 Go SSD,,,
89139,Pc Portable ASUS Vivobook S14 S3407QA / Snapdragon X X1 26 100 / 16 Go / 512 Go SSD / Windows 11 / Copilot+ / Silver,2359.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/89139-pc-portable-asus-vivobook-s14-s3407qa-snapdragon-x-x1-26-100-16-go-512-go-ssd-windows-11-copilot-silver.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.103071,,,16.0,16 Go SSD,,,
